ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
329,24148901,EMPLEO,FOMENTO DE EMPLEO,SUBV. FUNCASOR PROYECTO PERSONAS CON DISCAPACIDAD CAMINO AL EMPLEO: SERVICIO DE INTEGRACIÓN LABORAL (FDCAN 2018),135000.0,29
330,24162600,EMPLEO,FOMENTO DE EMPLEO,EQUIPOS PARA PROCESOS DE INFORMACIÓN,1100.0,30
331,24162702,EMPLEO,FOMENTO DE EMPLEO,CONVENIO PLAN INTEGRAL EMPLEO CORPORACIONES LOCALES,1000.0,31
332,24162703,EMPLEO,FOMENTO DE EMPLEO,OTRAS INVERSIONES EMPLEO,300.0,32
333,24177000,EMPLEO,FOMENTO DE EMPLEO,SUBVENCIONES PUESTA EN MARCHA DE PROYECTOS EMPRESARIALES (FDCAN 2018),220000.0,33
334,31212000,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,SUELDOS GRUPO A1,78074.55,34
335,31212001,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,SUELDOS GRUPO A2,108950.83,35
336,31212004,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,SUELDOS GRUPO C2,199657.67,36
337,31212006,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,TRIENIOS,98279.01,37
338,31212100,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,COMPLEMENTO DE DESTINO,248066.1,38
339,31212101,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,COMPLEMENTO ESPECÍFICO,292553.92,39
340,31212103,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,OTROS COMPLEMENTOS,232584.09,40
341,31213000,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,RETRIBUCIONES BÁSICAS LABORALES HOSPITAL,989442.85,41
1,13022613,SEGURIDAD Y EMERGENCIAS,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,CONVENIO INVOLCAN RED SENSORES ACTIVIDAD VOLCANICA,50000.0,42
342,31213002,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,1493233.88,43
343,31213100,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,HOSPITAL SUSTITUCIONES VACACIONES E ILT,203000.0,44
344,31215000,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,PRODUCTIVIDAD,26220.2,45
345,31215100,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,GRATIFICACIONES Y FESTIVOS LABORAL,185076.72,46
346,31216000,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,SEGURIDAD SOCIAL,1522500.0,47
347,31221300,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,CONSERVACIÓN MAQUINARIA HOSPITAL,6000.0,48
348,31221400,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,MATERIAL DE TRANSPORTE HOSPITAL,800.0,49
349,31221500,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,REPARACIÓN MOBILIARIOS Y ENSERES HOSPITAL,8000.0,50
350,31221900,HOSPITAL DE DOLORES,HOSPITAL DE DOLORES,REPARACIONES HOSPITAL,12000.0,51
2,13022699,SEGURIDAD Y EMERGENCIAS,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,OTROS GASTOS DIVERSOS,5000.0,52
3,13022707,SEGURIDAD Y EMERGENCIAS,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,SERVICIO CAPTACIÓN DE IMÁGENES AÉREAS,10000.0,53
4,13265000,SEGURIDAD Y EMERGENCIAS,SEGURIDAD Y ORDEN PÚBLICO,MEJORA ACUARTELAMIENTO GUARDIA CIVIL DE SANTA CRUZ DE LA PALMA,50000.0,54
5,13520400,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,ARRENDAMIENTO VEHÍCULOS CECOPIN,36000.0,55
6,13522000,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,MATERIAL OFICINA,500.0,56
7,13522104,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,VESTUARIO PERSONAL CECOPIN Y EMERGENCIAS,5000.0,57
8,13522602,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,PUBLICIDAD Y PROPAGANDA,5000.0,58
9,13522606,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,FORMACIÓN EN MATERIA DE PROTECCIÓN CIVIL,40000.0,59
10,13522610,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,PROYECTO DIVULGATIVO INSULAR EN EMERGENCIAS,35616.0,60
11,13522707,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,ASIST. TÉCNICA ELABORACIÓN PLANES DE EMERGENCIAS,40000.0,61
12,13522709,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,ELABORACIÓN DE PLANES AUTOPROTECCIÓN,30000.0,62
13,13523020,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,DIETAS PERSONAL,5000.0,63
14,13523120,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,LOCOMOCIÓN PERSONAL,5000.0,64
15,13548901,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,CONVENIO AEA SERVICIO DE EMERGENCIA,50000.0,65
16,13562400,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,VEHÍCULOS EMERGENCIA,75000.0,66
17,13562901,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,MATERIAL DE EMERGENCIAS,15000.0,67
18,13578900,SEGURIDAD Y EMERGENCIAS,PROTECCIÓN CIVIL,SUVB. AEA COMPRA VEHICULOS DE EMERGENCIA,14000.0,68
19,13622709,SEGURIDAD Y EMERGENCIAS,SERVICIOS DE EXTINCIÓN DE INCENDIOS,PRESTACIÓN SERVICIO PREV. Y EXT. INCENDIOS,600000.0,69
20,13662901,SEGURIDAD Y EMERGENCIAS,SERVICIOS DE EXTINCIÓN DE INCENDIOS,ADQUISICIÓN MATERIAL SERV. PREV. Y EXT. INCENDIOS,15000.0,70
21,15112000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO A1,85882.01,71
22,15112001,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO A2,27237.71,72
23,15112003,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO C1,10331.14,73
24,15112004,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GROPO C2,8680.77,74
25,15112006,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,TRIENIOS,15382.28,75
26,15112100,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,COMPLEMENTO DE DESTINO,80668.25,76
27,15112101,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,COMPLEMENTO ESPECÍFICO,104734.44,77
28,15112103,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,OTROS COMPLEMENTOS,72182.18,78
29,15115000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,PRODUCTIVIDAD,1779.16,79
30,15116000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SEGURIDAD SOCIAL,126974.71,80
31,15122000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,MATERIAL DE OFICINA,1300.0,81
32,15122001,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,"LIBROS, PRENSA, REVISTAS Y OTRAS PUBLICACIONES",400.0,82
33,15122002,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,MATERIAL INFORMÁTICO NO INVENTARIABLE,1000.0,83
34,15122602,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,PUBLICIDAD PIOLP Y OTROS,7138.2,84
35,15122606,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,REUNIONES Y CONFERENCIAS,2000.0,85
36,15122610,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,INDEMINZACIÓN POR ASISTENCIA COMISIÓN EVALUACIÓN MEDIOAMBIENTAL,10000.0,86
37,15122611,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,INDEMNIZACIÓN DAÑOS RESPONSABILIDAD PATRIMONIAL,87038.22,87
38,15122699,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,GASTOS DIVERSOS,1500.0,88
39,15122710,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,ASISTENCIA TÉCNICA PLANIFICACIÓN,309595.0,89
40,15162600,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,INVERSIONES EQUIPOS INFORMÁTICOS,4500.0,90
41,15163200,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,INVERSIONES REFORMAS OFICINAS,15000.0,91
42,15165000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,PROYECTO ADECUACIÓN LITORAL TAZACORTE,73211.0,92
43,15276202,ORDENACIÓN DEL TERRITORIO,VIVIENDA,SUBV. AYTO. SANTA CRUZ DE LA PALMA APORTACIÓN REGENERACIÓN Y RENOVACIÓN URBANA URBANIZACIÓN BENAHOARE,300000.0,93
44,16212000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SUELDOS GRUPO A1,39037.27,94
45,16212001,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SUELDOS GRUPO A2,27237.71,95
46,16212003,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SUELDOS GRUPO C2,10331.14,96
47,16212006,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",TRIENIOS,12639.76,97
48,16212100,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",COMPLEMENTO DE DESTINO,59185.22,98
49,16212101,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",COMPLEMENTO ESPECÍFICO,72735.61,99
50,16212103,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",OTROS COMPLEMENTOS,48125.58,100
51,16213000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RETRIB. BÁSICAS LABORALES RESIDUOS SÓLIDOS,118118.29,101
52,16213002,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",OTRAS REMUNERACIÓNES PESONAL LABORAL FIJO,168152.18,102
53,16213100,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RETRIB. PERSONAL LABORAL TEMPORAL,10764.82,103
54,16215000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",PRODUCTIVIDAD,3464.68,104
55,16216000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SEGURIDAD SOCIAL,187775.0,105
56,16221300,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS","RESIDUOS SÓLIDOS, MAQUINARIA, INSTALACIONES Y UTILLAJE",2500.0,106
57,16222103,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RESIDUOS SÓLIDOS. COMBUSTIBLES Y CARBURANTES ,2000.0,107
58,16222104,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RESIDUOS SÓLIDOS. VESTUARIO ,2500.0,108
59,16222300,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",TRANSPORTES Y MENSAJERÍA,500.0,109
60,16222610,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",PUESTA EN MARCHA DEL PTER,50000.0,110
61,16222699,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RESIDUOS SÓLIDOS. GASTOS DIVERSOS ,10000.0,111
62,16222706,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",ESTUDIOS Y TRABAJOS TÉCNICOS,15000.0,112
63,16222709,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RECOGIDA PAPEL/CARTÓN,211837.74,113
64,16222710,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RECEPCIÓN Y TRATAMIENTO DE PAPEL CARTON SELECTIVA,28000.0,114
65,16222711,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",GESTIÓN DE VERTEDEROS,20000.0,115
66,16222712,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",GESTIÓN COMPLEJO AMBIENTAL DE RESIDUOS,1500000.0,116
67,16222713,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",RETIRADA RESIDUOS PELIGROS Y NO PELIGROSOS DE PUNTOS LIMPIOS,154145.2,117
68,16246200,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",COMPENSACIÓN PLANTA M. AMBIENTE VILLA DE MAZO,390657.87,118
69,16248900,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",APORTACIÓN FUNDACIÓN CANARIA RESERVA DE LA BIOSFERA PROY. PRESERVACIÓN MEDIOAMBIENTAL MAT.RESIDUOS,10000.0,119
70,16260000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",ADQUISICIÓN TERRENOS,20000.0,120
71,16262701,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",INSTALACIONES Y EQUIPOS DE INFRAESTRUCTURAS DE RESIDUOS,180000.0,121
72,16262702,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",OBRAS EN PUNTOS LIMPIOS,20000.0,122
73,16262703,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",OBRAS PUNTOS LIMPIOS DE LA CONSTRUCCIÓN,150000.0,123
74,16262705,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",INVERSIONES ACTIVIDADES CLASIFICADAS,40000.0,124
75,16262706,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",MEJORA COMPLEJO AMBIENTAL LOS MORENOS,300000.0,125
76,16921300,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),REPARACIÓN MAQUINARIA E INSTALACIONES MATADERO,25000.0,126
77,16921400,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),"REPARACIÓN , MANTENIMIENTO Y CONSERVACIÓN DE ELEMENTOS TRANSPORTE",5100.0,127
78,16922000,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),MATERIAL DE OFICINA MATADERO,500.0,128
79,16922002,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),MATERIAL INFORMÁTICO NO INVENTARIABLE,400.0,129
80,16922103,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),COMBUSTIBLE MATADERO,25000.0,130
81,16922104,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),VESTUARIO Y LAVAND.,4500.0,131
82,16922110,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),LIMPIEZA INSTALACIONES Y DESINFECCIÓN,5000.0,132
83,16922300,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),TRANSPORTES,26000.0,133
84,16922502,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),TRIBUTOS VEHICULOS,1200.0,134
85,16922610,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),LABORATORIO,22900.0,135
86,16922699,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),OTROS GASTOS DIVERSOS MATADERO,5000.0,136
87,16922709,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),SERVICIO TRATAMIENTO SANDACH,2800.0,137
88,16935800,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),INTERESES POR OPERACIONES DE ARRENDAMIENTO FINANCIERO (LEASING),904.7,138
89,16962700,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),INVERSIONES MATADERO,1000.0,139
90,16964800,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),CUOTAS LEASING VEHÍCULOS,36960.51,140
91,17012000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO A1,46844.73,141
92,17012001,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO A2,40856.56,142
93,17012003,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO C1,180794.99,143
94,17012004,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO C2,17361.54,144
95,17012006,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,TRIENIOS,48165.77,145
96,17012100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMPLEMENTO DE DESTINO,182964.48,146
97,17012101,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMPLEMENTO ESPECÍFICO,229663.73,147
98,17012103,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,OTROS COMPLEMENTOS,159700.99,148
99,17013000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,1640453.11,149
100,17013002,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,OTRAS REMUNERACIONES,2361926.81,150
101,17013100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,LABORAL TEMPORAL,73141.67,151
102,17015000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,PRODUCTIVIDAD,37643.28,152
103,17015100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,GRATIFICACIONES,71050.0,153
104,17016000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SEGURIDAD SOCIAL,1766100.0,154
105,17020000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,ARRENDAMIENTO TERRENOS Y BIENES NATURALES,2200.0,155
106,17020200,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMUNIDAD PROPIETARIOS EDIFICIO. ARRENDAMIENTO LOCAL,3500.0,156
107,17020500,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,ARRENDAMIENTO MOBILIARIO Y ENSERES,500.0,157
108,17021200,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MANTENIMIENTO EDIFICIO Y OTRAS CONSTRUCCIONES,25000.0,158
109,17021300,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,"MAQUINARIA, INSTALACIONES Y UTILLAJE",10000.0,159
110,17021400,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MANTENIMIENTO VEHÍCULOS,80000.0,160
111,17021500,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,REPARACIÓN EQUIPOS OFICINA,500.0,161
112,17021600,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,RED COMUNICACIONES,4000.0,162
113,17022000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MATERIAL OFICINA,5500.0,163
114,17022001,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,"PRENSA, REVISTAS, LIBROS Y PUBLICACIONES",2000.0,164
115,17022002,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MATERIAL INFORMÁTICO NO INVENTARIABLE,4000.0,165
116,17022003,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,PUBLICACIONES Y ACTUALIZACIÓN DE TOPOGUÍAS Y FOLLETOS,12700.0,166
117,17022103,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMBUSTIBLES,75000.0,167
118,17022104,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,VESTUARIO,80000.0,168
119,17022199,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,OTROS SUMINISTROS,25000.0,169
120,17022300,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,TRANSPORTES,1500.0,170
121,17022699,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,GASTOS DIVERSOS MEDIO AMBIENTE,30000.0,171
122,17022706,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,"ASISTENCIAS TÉCNICAS, ESTUDIOS Y PROGRAMAS DE M.A. ",20000.0,172
123,17023120,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,LOCOMOCIÓN PERSONAL,1500.0,173
124,17220400,MEDIO AMBIENTE,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE,RENTING VEHÍCULOS,50000.0,174
125,17221000,MEDIO AMBIENTE,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE,MANTENIMIENTO PISTA FORESTALES,20000.0,175
126,17221900,MEDIO AMBIENTE,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE,REPAR. MANTENIMIENTO Y CONSERV. OTRO INMOVILIZADO MATERIAL,2000.0,176
127,17222701,MEDIO AMBIENTE,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE,ACTUACIONES CONTRA INCENDIOS Y BRIGADAS,1050000.0,177
128,17222707,MEDIO AMBIENTE,PROTECCIÓN Y MEJORA DEL MEDIO AMBIENTE,"ASIST. TÉCN. ERRAD. EXÓTICAS, FLORA Y FAUNA EDUC. AMBIENTAL",15000.0,178
